标题,关键字
联通校园系统的设计与实现,"['Android', 'SpringBoot', 'Vue', '教育资源共享', '系统设计']"
基于SSM的高校食堂就餐系统设计以四川大学锦城学院为例,"['SpringBoot', '食堂管理', 'Vue']"
办公流程管理系统的设计与实现,"['流程管理', 'B/S系统', '办公系统']"
基于SpringBoot技术的行波管设计文件管理系统的设计与实现,"['行波管', '文件管理', 'SpringBoot技术', 'UML建模']"
在线学习交流平台的设计与实现,"['在线学习', 'SpringBoot', 'Html', 'Nginx', 'WebSocket']"
基于知识图谱的西藏旅游公共服务平台研究与实现,"['知识图谱', '西藏旅游', 'Neo4j', 'SpringBoot', '公共服务平台', 'ALBERT']"
电力作业无人机机队运行管理系统研究,"['无人机', '运行管理', 'Vue', 'SpringBoot']"
基于SpringBoot技术的综测N服务管理系统设计与实现,"['综测评分', 'SpringBoot', 'MyBatisPlus', 'Layui框架']"
电信运维容量分析系统的设计与实现,"['智能运维', '容量分析', 'Hadoop', 'MapReduce', 'SpringBoot', 'Hdfs']"
电信运维容量分析系统的设计与实现,"['智能运维', '容量分析', 'Hadoop', 'MapReduce', 'SpringBoot', 'Hdfs']"
基于SpringBoot的大数据日志分析系统的设计与实现,"['SpringBoot框架', 'Flink框架', 'APP用户行为日志分析']"
宁夏联通创新业务项目管理系统设计与实现,"['项目管理', 'B/S架构', '中台']"
基于SpringBoot技术的M公司厨电产品质量管理系统的设计与实现,"['厨电产品', '质量管理', 'SpringBoot技术', 'UML建模']"
行业数据展示平台的设计与实现,"['行业信息', '数据整合', '相关性分析']"
餐厅服务机器人交互系统的设计与实现,"['服务机器人', '人机交互', 'WebApp', 'SpringBoot', 'MySql']"
面向服装工厂的高级计划排程算法优化及实现技术研究,"['高级计划排程', '遗传算法', '柔性作业调度', 'springboot']"
基于SpringBoot和Vue框架的刹车片工厂流程再造系统的设计与实现,"['刹车片工厂', '流程再造', '配方系统', '数据可视化', 'SpringBoot', 'Vue']"
电信企业客服知识库平台的设计与实现,"['知识库', '智能检索', '系统分析与设计', '系统架构']"
基于Flutter和SpringBoot的多平台会议室管理系统,"['综合课程设计', 'Web开发', 'Flutter', 'SpringBoot', '核心技术']"
银行项目库管理系统的设计与实现,"['项目库管理系统', 'Spring Security', 'SpringBoot', 'MySQL']"
基于SpringBoot的高校课程知识库的设计与实现,"['自主学习', '知识库', 'SpringBoot', '问题关键字']"
基于SpringBoot的古村落科普平台的设计与实现,"['SpringBoot', '古村落', '文化传承', '科普平台']"
基于Spring和MyBatis框架的阅读网站的设计与实现,"['Spring', 'MyBatis', '阅读网站', '书籍']"
水质监测系统信息化研究初探,"['水质', '监测系统', '预警']"
基于SpringBoot与Vue技术的企业电商平台的设计与实现,"['SpringBoot', 'Vue. js', '企业电商平台', '电子商务']"
Springboot最小系统的设计与实现,"['Java', 'Springboot', 'Mybatis', 'SpringSecurity', 'Json']"
智慧水务管理中漏水定位监测系统的设计与实现,"['漏水定位', '独立计量分区(DMA)', '水力模型', '漏损监测', '聚类分析', 'SpringBoot']"
基于SpringBoot的旅游资源管理网站的设计与实现,"['SpringBoot', '旅游网站', 'Thymeleaf', 'Mybatis']"
基于大数据分析的新疆智慧旅游网站的设计与实现,"['旅游', 'SSM', 'SpringBoot', 'Jsp', 'MySQL']"
基于SpringBoot的质检综合信息管理系统的开发实现,"['质检综合信息管理', 'SpringBoot', 'B/S', '权限管控', '数据库']"
编织网格模型处理及管理系统研究,"['Java', 'SpringBoot', 'MySQL', '文件管理']"
基于轻量级框架SpringBoot的家教APP设计与实现,"['Android', '家教APP', 'SpringBoot', '轻量级框架']"
基于SpringBoot的分布式光伏发电管理系统,"['SpringBoot', '分布式光伏发电', '管理系统', '数据采集分析', 'Netty']"
基于Yii2sb2文件加解密管理系统的设计与实现,"['Yii2', 'springboot2', '文件加解密', '文件管理系统']"
县域义务教育优质均衡发展系统设计与实现,"['义务教育', '优质均衡', 'SpringBoot']"
大服务设计与运行平台门户系统的设计与实现,"['门户系统', 'B/S架构', 'vue. js', 'springboot']"
基于SparkStreaming的实时路桥检测系统的设计与实现,"['SparkStreaming', '路桥检测', '大数据', 'SpringBoot']"
基于增强现实的互动广告系统实现,"['广告', 'springboot', '增强现实', 'ar.js']"
安全用电智能监控系统设计,"['SpringBoot', '安全用电', '数据管理']"
基于SpringBoot的作业管理系统设计与开发,"['SpringBoot架构', 'B/S结构', '作业管理系统', 'SSM框架']"
面向线上支付平台的分布式微服务架构研究,"['JAVA', 'SpringBoot', '分布式', '微服务', '支付']"
气象数据服务系统初步设计与方法研究,"['数据服务', '气象资料', 'SpringBoot']"
基于SpringBoot 20的医德医风管理系统设计与应用,"['医德医风系统', 'SpringBoot 2.0技术', '考核']"
基于Android前端和Springboot后台的检测进度管理软件的设计与实现,"['检测进度管理', 'LIMS对接', 'Android', 'Springboot']"
基于Springboot框架的学校机房计费管理系统的设计与实现,"['Web系统', 'Springboot框架', '计费管理']"
基于Spring的平安校园系统的设计与实现,"['平安校园', 'SpringBoot', '图像处理', '安全台帐管理']"
旅客智能行程推荐系统的设计与实现,"['智能行程推荐', 'SpringBoot', '微信小程序', 'MySQL']"
基于SSMSpringBoot技术实现服务器监控的研究,"['SMS', '分布式', '轻量级', '跨平台', '易用性']"
基于Spring Security认证与授权的Web应用与实现,"['Spring Security组件', 'SpringBoot框架', 'SSM架构', '功能实现']"
基于Vue和SpringBoot的机场气象信息系统设计与实现,"['Vue', 'SpringBoot', '机场', '气象']"
一个数据需求管理系统的设计与实现,"['数据需求', '模块化', 'SpringBoot', '软件测试']"
电影推荐与点评系统的设计与实现,"['点评类网站', '个性化推荐', '协同过滤', '大数据处理']"
黄河流域水沙数据库应用管理系统设计与开发,"['黄河流域', '水沙数据库', 'Vue', 'SpringBoot', 'Oracle']"
基于宠物交配平台模式运行可行性研究,"['宠物', '平台模式', '可行性研究']"
基于电商的食品溯源及推荐平台的设计与实现,"['食品安全', '食品溯源', '智能推荐', 'SpringBoot', 'Layui']"
基于微服务架构的证券期货行业数据模型管理平台的设计和实现,"['微服务', 'SpringCloud', '证券期货', '数据治理', '数据模型']"
基于物联网技术的工程机械服务管理平台的设计与实现,"['物联网', '工程机械', '服务管理平台', '远程监控']"
基于SpringBoot的成绩可视化系统设计与实现,"['互联网', '可视化', '雨课堂']"
基于VueSpringBoot的分类学科竞赛管理系统设计,"['学科竞赛管理系统', '前后端分离架构', 'Vue', 'SpringBoot']"
Web项目基于前后端分离模式的设计与应用,"['Web', '前后端分离模式', 'SpringBoot', 'Vue.js']"
基于SpringBoot的小型日常交流论坛的设计与实现,"['SpringBoot', 'Bootstrap', '交流论坛']"
基于SpringBoot的在线招聘网站的设计与实现,"['求职招聘', 'SpringBoot', 'Mybatis', 'vue', '在线招聘系统', '系统设计']"
面向互联网公司的软件研发全流程管理平台设计与实现,"['敏捷开发', '生命周期管理', '研发效能']"
通用信息获取系统设计与实现,"['物料搬运装备', 'SpringBoot', '信息获取', 'B/S架构', 'Docker']"
基于物联网架构的智能变电站数据管理系统设计,"['物联网', '智能变电站', '电力数据', '管理系统', '自动化运维', '系统设计']"
基于SpringBootMongoDB的微服务日志系统的实现,"['微服务', '日志数据', '查询', 'SpringBoot', '处理', 'MongoDB']"
基于SpringBootSSM框架的进销存管理系统设计与实现,"['进销存系统', 'Spring Boot', 'SSM框架']"
一种内外网数据交互系统的设计与实现,"['WebSocket', '内外网数据交互', 'SpringBoot']"
智慧医疗服务平台后端服务模块的设计与实现,"['智慧医疗', '微服务', 'SpringCloud', 'SpringBoot']"
数据可视化图表网站系统的设计与实现,"['图表网站系统', '可视化图表', 'SpringBoot', 'Hive', 'mqtt', 'React']"
基于SpringBoot的毕业论文管理系统设计和开发,"['毕业论文', '数字信息化', 'SpringBoot']"
在线评审系统的设计与实现,"['在线评审系统', 'SpringBoot', 'VUE', 'MySQL']"
基于微服务的预付卡系统的研究与设计,"['微服务', '预付卡', 'springcloud', 'springboot']"
基于SpringBoot的高校学习社区的设计与实现,"['学习社区', 'SpringBoot', 'Bootstrap', 'JQuery']"
Research and Development of Movie Recommendation System Based on Hybrid Recommendation Algorithm,"['电影推荐系统', '协同过滤算法', '混合推荐', 'Springboot']"
某银行保证金后台管理系统的设计与实现,"['保证金管理', '后台管理系统', 'SpringBoot', 'Mybatis', 'Maven']"
基于微服务的水电站手机端监测系统的开发与研究,"['水电站', '远程监测', 'SpringBoot', '手机APP', '微服务架构']"
基于NBIoT的光交箱管理平台的研究与实现,"['光交箱', 'NB-IoT', '物联网平台', 'SpringBoot']"
应用SpringBoot的食堂订餐管理系统设计,"['订餐系统', '效率', 'SpringBoot']"
基于SpringBootMyBatis框架的高校人事信息发布系统设计与实现,"['高校人事信息管理', 'B/S模式', 'SpringBoot+MyBatis', 'Java EE框架']"
在线学习过程管理系统软件设计与实现,"['在线学习', 'SCORM', '过程管理', 'SpringBoot']"
基于微服务和微信小程序的门户系统设计,"['SpringBoot', '微信小程序', 'Bootstrap', '数学建模']"
互联网生态站后台管理系统的设计与实现,"['智慧生态站', '数据融合', '离线分析', '数据推送']"
基于SpringBoot的WIAPA测试软件设计及优化,"['WIA-PA', 'TCP', 'SpringBoot', 'APFD', '测试软件']"
基于SpringBoot和Vue框架的共享运营管理平台的设计与实现,"['共享运营', '物联网云平台', '分布式系统', 'SpringBoot', '网络攻击']"
基于Web的医学影像管理与分析系统,"['B/S', '卷积神经网络', '医学影像管理', '真菌性角膜炎', '计算机辅助诊断']"
基于物联网云平台的智慧管廊信息系统后台的设计与实现,"['智慧管廊', '信息化管理', '物联网', '后台开发', '日志管理']"
基于云服务的滚动轴承在线监测与诊断系统设计,"['故障诊断', '云服务', 'SpringBoot框架', '故障告警']"
农业物流信息平台系统设计,"['农业物流信息', '农业运输', '供需匹配', 'SpringBoot']"
基于混合执行的人工智能二进制程序漏洞挖掘技术的设计与实现,"['人工智能', '混合执行', '漏洞挖掘', '图片渲染', '精度异常']"
基于微服务的电子布告栏系统设计与实现,"['微服务', '香蕉派BPI-M2', 'SpringBoot', '数据可视化分析']"
面向智慧旅游小镇的移动终端系统的设计与实现,"['智慧小镇', '旅游', '小程序', 'SpringBoot', '数据库']"
油气管道智慧预警系统的设计与实现,"['Vue', 'SpringBoot', '智能化', '可视化']"
基于RFID的农产品配送监测系统的设计与实现,"['物联网', '农产品配送', '实时监测', 'RFID技术', 'SpringBoot']"
基于WebGL与WebSocket的船舶操纵训练环境仿真,"['航海仿真', '船舶操纵', 'WebGL技术', 'WebSocket协议']"
基于微信的小区管理系统,"['小区管理', 'SpringBoot', '前后端分离', '微信平台']"
基于微信平台的4S店智能管理系统的设计与实现,"['微信服务号', '汽车4S店', '预约服务', '后台管理', '车牌识别']"
网约车行程安全保障系统的设计与实现,"['网约车', '行程安全', 'Springboot', 'Hive', 'XGBoost']"
办公网主机监控系统的设计与实现,"['办公网', 'Springboot', '计算机监控']"
基于SpringBoot的银行二维码交易处理系统设计与实现,"['二维码支付', '交易处理系统', 'SpringBoot框架', '分布式']"
经络健康调理系统的研究与设计,"['移动医疗', '中医经络', '智能设备', 'SpringBoot']"
基于改进YOLOv3模型的姿态识别系统设计与实现,"['YOLOv3', '姿态识别', '视频监控系统', 'Springboot框架', 'Vue框架']"
基于SpringBoot的EAST实验数据存储监控系统,"['MDSplus', '监控', '数据存储', '数据处理', 'SpringBoot']"
法院电子卷宗标注系统的设计与实现,"['电子卷宗', '自动标注', 'SpringBoot', 'MyBatis', 'OCR']"
基于切片覆盖过滤的测试代码推荐系统的设计与实现,"['软件测试', '程序切片', '测试覆盖', '代码推荐']"
学能综合评估及培训系统的设计与实现,"['学能评估', '线上学能培训', '线下学能培训', 'SpringBoot']"
法院导诉系统的设计与实现,"['法院导诉', '前后端分离', '组件化', 'Vue', 'SpringBoot']"
法院智能云柜管理系统的设计与实现,"['智能云柜', '自动分配', '嵌入式系统', 'SpringBoot', 'Kafka集群']"
具备开发功能的建筑设备管理组态软件的设计与实现,"['建筑管理', '开发功能', '组态软件']"
Web应用自动化测试系统分析服务的设计与实现,"['Web应用测试', '自动化测试', '测试分析', '缺陷评估']"
一站式机器学习平台的研究与实现,"['一站式机器学习', '平台化', 'SpringBoot', '可视化建模']"
企业内部管理系统的设计与实现,"['企业人事管理', 'Activiti', 'SpringBoot', 'MySq1', '审批']"
面向分布式数据库的Insight监控系统的设计与实现,"['分布式数据库', '监控系统', 'SpringBoot', 'Elastic Search', 'Kafka']"
EAST实验数据存储监控系统设计与实现,"['EAST数据存储', 'MDSplus', '实时', '数据处理', 'SpringBoot']"
基于SpringBoot与Vue框架的中文社科论文分析系统的设计与实现,"['社科论文分析', 'Citation-LDA', 'BERT模型', '主题流变与发展']"
科技项目资源池系统的设计与实现,"['科技项目', '文本结构分析', '属性抽取', 'SpringBoot']"
基于Springboot的校园网故障管理系统的实现,"['Springboot', '故障管理', 'SNMP']"
基于SpringBoot的项目信息管理系统的设计与实现,"['项目管理系统', 'SpringBootMaven', 'Thymeleaf', 'B/S架构']"
案件数据质量监控订正系统的设计与实现,"['数据质量', '订正', '爬虫', 'SpringBoot', 'ElasticSearch']"
基于Spring Boot的运动场馆服务平台的设计与实现,"['运动场馆', 'SpringBoot', '协同过滤推荐', '体育资源利用率提升']"
基于微服务架构的社会化应急资源数据汇聚平台的设计与实现,"['应急管理', '数据汇聚', '微服务', '突发事件']"
基于物联网技术的水表系统设计,"['智能水表', 'NB-Iot', 'SpringBoot', 'OneNET云平台']"
基于SpringBoot的高校毕业生离校系统设计与实现,"['学生离校', '微服务', '信息化', '智慧校园']"
建筑节能设计基础参数共享平台的设计与实现,"['SpringBoot', 'VUE', '建筑节能', '气候设计', '数据共享平台', '功能测试']"
一种智能车站的消息总线研究与设计,"['智能车站', '微服务', '数据共享', 'SpringBoot', 'Kafka']"
基于SpringBoot的矿山恢复治理矢量图斑属性确认系统研究,"['遥感监测', '恢复治理成果数据', '矢量图斑', '属性确认']"
行政信息公开案件智能辅助审理系统的设计与实现,"['信息公开', '智能编目', '要素抽取', '案件审查', 'SpringBoot']"
基于SpringBoot框架的中长期水文预报系统设计与开发,"['中长期水文预报', 'SpringBoot框架', 'Python模型库', '业务化运行']"
检验检测平台业务系统的设计与实现,"['检验检测平台', '业务系统', 'SpringBoot', 'MyBatis', 'OSS']"
基于Activiti的创业担保贷款协同审批系统的设计与实现,"['Activiti流程引擎', '创业担保贷款', '工作流', 'MVC模式', 'SpringBoot框架']"
临夏智慧园区数字信息管理平台的设计与实现,"['智慧园区', '经营预测', 'SpringBoot', 'Tornado', 'XGBoost', 'ARIMA']"
基于SpringBoot的下沉市场交易平台的设计与实现,"['下沉市场', 'SpringBoot', 'Web商城', '负载均衡', '读写分离']"
煤矿风险预警与防控平台中心端的设计与实现,"['风险预警', '煤矿风险', 'SpringBoot', '煤矿安全']"
地级市干部任免系统设计与实现,"['Vue', 'Springboot', 'MyBatis', 'Shiro', '干部任免']"
智能生产与仓储管理系统程序设计与实现,"['无源UHF RFID', 'SpringBoot', '地埋天线定位', '生产与仓储管理', '智能']"
无人机巡线管理系统的设计与实现,"['石油管线', '无人机巡检', 'SpringBoot', 'OpenCV', 'YOLOv5']"
建筑公司项目管理系统的设计与实现,"['建筑信息化', '建筑企业', '项目管理', 'Vue', 'SpringBoot']"
基于微服务架构的铁路货运基础字典统一运维应用系统的设计与实现,"['铁路货运', '统一运维', '微服务', 'SpringBoot']"
工程机械综合信息管理系统的设计与实现,"['物联网', '远程管理系统', 'B/S架构', 'SpringBoot', '数据库设计']"
基于安防受控箱的定位监控平台的设计,"['车辆管理', '物联网', 'SpringBoot', '可视化']"
基于SpringBoot的短信服务的设计与实现,"['阿里云', '微服务', '监控', '报警', '短信']"
基于SpringBoot技术的M公司协同办公平台的设计与实现,"['协同办公', '流程管理', 'SpringBoot技术', 'MySQL数据库']"
路桥维护管理系统的设计与实现,"['道路与桥梁', '巡检养护', '技术评估', 'WebGIS', 'Vue.js']"
基于BS架构的计量送检管理平台设计与实现,"['信息化', '计量检定', 'B/S架构', '管理系统', 'Springboot MVC']"
基于SpringBoot和Vue框架的教代会提案系统的设计与实现,"['教代会', '提案系统', 'SpringBoot', 'Vue']"
成长守护系统管理端的设计与实现,"['手机依赖', 'SpringBoot', 'Redis', '地理围栏', '消息推送']"
VueSpringbootMyBatis技术应用解析,"['Vue', 'springboot', 'mybatis', 'axios', '切面技术']"
高校移动图书管理系统的设计与实现,"['HTML5', 'WebSocket', 'SpringBoot', 'Redis', '移动应用']"
SpringBoot集成Redis缓存技术在企业一卡通系统中的应用,"['Spring Boot', '一卡通', '缓存技术', 'Redis Cache Queue', '上传下发', '数据同步']"
基于SpringBoot框架应用开发技术的分析与研究,"['SpringBoot', 'Java EE开发体系', '框架', '架构设计']"
高陂水利枢纽工程水雨情服务系统构建与应用,"['计算机技术与应用', 'WebGIS技术', '高陂水利枢纽工程', '气象水文']"
基于SpringBoot的校园文章发布系统设计与实现,"['校园文章发布平台', 'SpringBoot', 'Maven', '分层设计']"
基于微信小程序的微型咨讯系统的设计和实现,"['微信小程序', 'node.js', 'springboot', '微型咨讯']"
基于Springboot的博客网站的设计与实现,"['Springboot', '博客网站', '设计']"
基于Spring Boot的博客系统的设计与实现,"['博客系统', 'B/S模式', 'Spring Boot', 'Hibernate']"
Mybatis逆向工程功能扩展实现,"['Mybatis-generator工程', '逆向工程扩展', 'Springboot MVC框架', 'Springboot项目']"
基于BS架构的母婴商城设计与实现,"['电子商务', '微服务', 'SpringBoot']"
即时通讯系统的设计与实现,"['Netty', '即时通讯', '混合开发', 'MUI']"
基于Activiti和微信公众平台的流程管理系统的设计与实现,"['Activiti', '微信公众平台', 'SpringBoot']"
外汇资金流动性管理系统的设计与实现,"['流动性台账管理', '账户行流动性管理', '资金来源运用管理', 'B/S', 'SpringBoot']"
基于SpringBootSSM框架的Web应用系统搭建与实现,"['SpringBoot框架', 'SSM框架', 'Web应用系统', '功能实现']"
基于SpringBoot的年度考核投票系统的研究与实现,"['架构设计', '系统管理', '数据库', 'Java', 'SpringBoot']"
在线报修系统的设计与实现,"['在线报修系统', 'SpringBoot', 'Angular技术', 'Android', 'MYSQL']"
基于springboot的智能管道检测机器人软件设计,"['功能设计', '技术架构', '试验效果']"
基于SpringBootShiro的权限管理实现,"['Shiro框架', 'SpringBoot框架', '权限管理']"
基于SpringBoot的旧物回收商城的设计与实现,"['SpringBoot', 'MyBatis', 'MySQL', '网上商城', '废品回收']"
知识付费运营管理系统设计与实现,"['知识付费系统', '运营管理系统', '微信小程序']"
基于SpringBoot框架对P2P借贷平台的设计与实现,"['P2P借贷系统', 'B/S体系结构', 'Spring Boot框架', '时序图']"
基于Netty的水质监测系统的设计与实现,"['水质监测系统', '分包粘包', 'Netty', 'SpringBoot', 'Redis', 'WebSocket', 'Nginx']"
